Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/wishlist/eea2a7fc-58af-4619-8617-c82bf7e4ac01,1,0,64.51056100195274,64.51056100195274,64.51056100195274,64.51056100195274,213.0,0.0017447199799003857,0.0,65,65,65,65,65,65,65,65,65,65,65
GET,/wishlist/eea2a7fc-58af-4619-8617-c82bf7e4ac01,1,0,73.92377599899191,73.92377599899191,73.92377599899191,73.92377599899191,150.0,0.0017447199799003857,0.0,74,74,74,74,74,74,74,74,74,74,74
PUT,/wishlist/eea2a7fc-58af-4619-8617-c82bf7e4ac01,1,0,34.97460699873045,34.97460699873045,34.97460699873045,34.97460699873045,113.0,0.0017447199799003857,0.0,35,35,35,35,35,35,35,35,35,35,35
DELETE,/wishlist/eecd1386-8658-4449-bdf5-d14925e909b6,1,0,30.434184001933318,30.434184001933318,30.434184001933318,30.434184001933318,213.0,0.0017447199799003857,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/wishlist/eecd1386-8658-4449-bdf5-d14925e909b6,1,0,46.38949400396086,46.38949400396086,46.38949400396086,46.38949400396086,150.0,0.0017447199799003857,0.0,46,46,46,46,46,46,46,46,46,46,46
PUT,/wishlist/eecd1386-8658-4449-bdf5-d14925e909b6,1,0,605.6254630020703,605.6254630020703,605.6254630020703,605.6254630020703,113.0,0.0017447199799003857,0.0,610,610,610,610,610,610,610,610,610,610,610
DELETE,/wishlist/eee865d4-dfbc-4f76-93cd-2a1ff02e7d22,1,0,34.234532999107614,34.234532999107614,34.234532999107614,34.234532999107614,213.0,0.0017447199799003857,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,/wishlist/eee865d4-dfbc-4f76-93cd-2a1ff02e7d22,1,0,69.63770599395502,69.63770599395502,69.63770599395502,69.63770599395502,150.0,0.0017447199799003857,0.0,70,70,70,70,70,70,70,70,70,70,70
PUT,/wishlist/eee865d4-dfbc-4f76-93cd-2a1ff02e7d22,1,0,128.04143399989698,128.04143399989698,128.04143399989698,128.04143399989698,113.0,0.0017447199799003857,0.0,130,130,130,130,130,130,130,130,130,130,130
DELETE,/wishlist/ef0a32b2-6b6c-4e03-b7f5-20433832b47d,1,0,121.98398699547397,121.98398699547397,121.98398699547397,121.98398699547397,213.0,0.0017447199799003857,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/wishlist/ef0a32b2-6b6c-4e03-b7f5-20433832b47d,1,0,36.05730900017079,36.05730900017079,36.05730900017079,36.05730900017079,150.0,0.0017447199799003857,0.0,36,36,36,36,36,36,36,36,36,36,36
PUT,/wishlist/ef0a32b2-6b6c-4e03-b7f5-20433832b47d,1,0,46.1846649996005,46.1846649996005,46.1846649996005,46.1846649996005,113.0,0.0017447199799003857,0.0,46,46,46,46,46,46,46,46,46,46,46
DELETE,/wishlist/ef2688d9-e1f3-4ba2-8cb3-a377078dcef0,1,0,878.8690680012223,878.8690680012223,878.8690680012223,878.8690680012223,213.0,0.0017447199799003857,0.0,880,880,880,880,880,880,880,880,880,880,880
GET,/wishlist/ef2688d9-e1f3-4ba2-8cb3-a377078dcef0,1,0,287.77163499762537,287.77163499762537,287.77163499762537,287.77163499762537,150.0,0.0017447199799003857,0.0,290,290,290,290,290,290,290,290,290,290,290
PUT,/wishlist/ef2688d9-e1f3-4ba2-8cb3-a377078dcef0,1,0,213.83731700188946,213.83731700188946,213.83731700188946,213.83731700188946,113.0,0.0017447199799003857,0.0,210,210,210,210,210,210,210,210,210,210,210
DELETE,/wishlist/ef4896e4-0b56-4969-bea0-91d8251eb1e4,1,0,79.55012500315206,79.55012500315206,79.55012500315206,79.55012500315206,213.0,0.0017447199799003857,0.0,80,80,80,80,80,80,80,80,80,80,80
GET,/wishlist/ef4896e4-0b56-4969-bea0-91d8251eb1e4,1,0,36.33710400026757,36.33710400026757,36.33710400026757,36.33710400026757,150.0,0.0017447199799003857,0.0,36,36,36,36,36,36,36,36,36,36,36
